ADDR | HEX  |       BINARY       | UNSIGNED |  S10 |  S12 |  S16
8FF  | 0B80 | 0000_1011_1000_0000 |     2944 | -128 | -1152 | 2944
900  | 7CA4 | 0111_1100_1010_0100 |    31908 |  164 | -860 | 31908
901  | 7F85 | 0111_1111_1000_0101 |    32645 | -123 | -123 | 32645
902  | 07BD | 0000_0111_1011_1101 |     1981 |  -67 | 1981 | 1981
903  | 0467 | 0000_0100_0110_0111 |     1127 |  103 | 1127 | 1127
904  | 7B5D | 0111_1011_0101_1101 |    31581 | -163 | -1187 | 31581
905  | 0B83 | 0000_1011_1000_0011 |     2947 | -125 | -1149 | 2947
906  | 0B3C | 0000_1011_0011_1100 |     2876 | -196 | -1220 | 2876
907  | 0B5E | 0000_1011_0101_1110 |     2910 | -162 | -1186 | 2910
908  | 033B | 0000_0011_0011_1011 |      827 | -197 |  827 |  827
909  | 7C41 | 0111_1100_0100_0001 |    31809 |   65 | -959 | 31809
90A  | 045D | 0000_0100_0101_1101 |     1117 |   93 | 1117 | 1117
90B  | 08BB | 0000_1000_1011_1011 |     2235 |  187 | -1861 | 2235
90C  | 7B83 | 0111_1011_1000_0011 |    31619 | -125 | -1149 | 31619
90D  | 0B99 | 0000_1011_1001_1001 |     2969 | -103 | -1127 | 2969
90E  | 7FE2 | 0111_1111_1110_0010 |    32738 |  -30 |  -30 | 32738
90F  | 7C44 | 0111_1100_0100_0100 |    31812 |   68 | -956 | 31812
910  | 047E | 0000_0100_0111_1110 |     1150 |  126 | 1150 | 1150
911  | 0067 | 0000_0000_0110_0111 |      103 |  103 |  103 |  103
912  | 043A | 0000_0100_0011_1010 |     1082 |   58 | 1082 | 1082
913  | 0825 | 0000_1000_0010_0101 |     2085 |   37 | -2011 | 2085
914  | 7BBB | 0111_1011_1011_1011 |    31675 |  -69 | -1093 | 31675
915  | 0459 | 0000_0100_0101_1001 |     1113 |   89 | 1113 | 1113
916  | 0321 | 0000_0011_0010_0001 |      801 | -223 |  801 |  801
917  | 0720 | 0000_0111_0010_0000 |     1824 | -224 | 1824 | 1824
918  | 7FC4 | 0111_1111_1100_0100 |    32708 |  -60 |  -60 | 32708
919  | 0B5A | 0000_1011_0101_1010 |     2906 | -166 | -1190 | 2906
91A  | 0807 | 0000_1000_0000_0111 |     2055 |    7 | -2041 | 2055
91B  | 08A4 | 0000_1000_1010_0100 |     2212 |  164 | -1884 | 2212
91C  | 0823 | 0000_1000_0010_0011 |     2083 |   35 | -2013 | 2083
91D  | 08A0 | 0000_1000_1010_0000 |     2208 |  160 | -1888 | 2208
91E  | 0B84 | 0000_1011_1000_0100 |     2948 | -124 | -1148 | 2948
91F  | 7BA6 | 0111_1011_1010_0110 |    31654 |  -90 | -1114 | 31654
920  | 0061 | 0000_0000_0110_0001 |       97 |   97 |   97 |   97
921  | 0819 | 0000_1000_0001_1001 |     2073 |   25 | -2023 | 2073
922  | 0365 | 0000_0011_0110_0101 |      869 | -155 |  869 |  869
923  | 0BBD | 0000_1011_1011_1101 |     3005 |  -67 | -1091 | 3005
924  | 0760 | 0000_0111_0110_0000 |     1888 | -160 | 1888 | 1888
925  | 0887 | 0000_1000_1000_0111 |     2183 |  135 | -1913 | 2183
926  | 7C43 | 0111_1100_0100_0011 |    31811 |   67 | -957 | 31811
927  | 7B66 | 0111_1011_0110_0110 |    31590 | -154 | -1178 | 31590
928  | 077A | 0000_0111_0111_1010 |     1914 | -134 | 1914 | 1914
929  | 04BC | 0000_0100_1011_1100 |     1212 |  188 | 1212 | 1212
92A  | 7C9F | 0111_1100_1001_1111 |    31903 |  159 | -865 | 31903
92B  | 0BFB | 0000_1011_1111_1011 |     3067 |   -5 | -1029 | 3067
92C  | 78E5 | 0111_1000_1110_0101 |    30949 |  229 | -1819 | 30949
92D  | 07E4 | 0000_0111_1110_0100 |     2020 |  -28 | 2020 | 2020
92E  | 7BFD | 0111_1011_1111_1101 |    31741 |   -3 | -1027 | 31741
92F  | 0440 | 0000_0100_0100_0000 |     1088 |   64 | 1088 | 1088
930  | 0804 | 0000_1000_0000_0100 |     2052 |    4 | -2044 | 2052
931  | 07A2 | 0000_0111_1010_0010 |     1954 |  -94 | 1954 | 1954
932  | 07BB | 0000_0111_1011_1011 |     1979 |  -69 | 1979 | 1979
933  | 00DC | 0000_0000_1101_1100 |      220 |  220 |  220 |  220
934  | 0B86 | 0000_1011_1000_0110 |     2950 | -122 | -1146 | 2950
935  | 7FE7 | 0111_1111_1110_0111 |    32743 |  -25 |  -25 | 32743
936  | 7C41 | 0111_1100_0100_0001 |    31809 |   65 | -959 | 31809
937  | 0B86 | 0000_1011_1000_0110 |     2950 | -122 | -1146 | 2950
938  | 7CE6 | 0111_1100_1110_0110 |    31974 |  230 | -794 | 31974
939  | 0B5F | 0000_1011_0101_1111 |     2911 | -161 | -1185 | 2911
93A  | 7F99 | 0111_1111_1001_1001 |    32665 | -103 | -103 | 32665
93B  | 00A6 | 0000_0000_1010_0110 |      166 |  166 |  166 |  166
93C  | 7CA4 | 0111_1100_1010_0100 |    31908 |  164 | -860 | 31908
93D  | 041C | 0000_0100_0001_1100 |     1052 |   28 | 1052 | 1052
93E  | 083C | 0000_1000_0011_1100 |     2108 |   60 | -1988 | 2108
93F  | 7B61 | 0111_1011_0110_0001 |    31585 | -159 | -1183 | 31585
940  | 7BFE | 0111_1011_1111_1110 |    31742 |   -2 | -1026 | 31742
941  | 08C1 | 0000_1000_1100_0001 |     2241 |  193 | -1855 | 2241
942  | 0084 | 0000_0000_1000_0100 |      132 |  132 |  132 |  132
943  | 7CC7 | 0111_1100_1100_0111 |    31943 |  199 | -825 | 31943
944  | 003E | 0000_0000_0011_1110 |       62 |   62 |   62 |   62
945  | 787E | 0111_1000_0111_1110 |    30846 |  126 | -1922 | 30846
946  | 0B9D | 0000_1011_1001_1101 |     2973 |  -99 | -1123 | 2973
947  | 085D | 0000_1000_0101_1101 |     2141 |   93 | -1955 | 2141
948  | 00FA | 0000_0000_1111_1010 |      250 |  250 |  250 |  250
949  | 0360 | 0000_0011_0110_0000 |      864 | -160 |  864 |  864
94A  | 7FA0 | 0111_1111_1010_0000 |    32672 |  -96 |  -96 | 32672
94B  | 0723 | 0000_0111_0010_0011 |     1827 | -221 | 1827 | 1827
94C  | 0765 | 0000_0111_0110_0101 |     1893 | -155 | 1893 | 1893
94D  | 7CF9 | 0111_1100_1111_1001 |    31993 |  249 | -775 | 31993
94E  | 0400 | 0000_0100_0000_0000 |     1024 |    0 | 1024 | 1024
94F  | 787D | 0111_1000_0111_1101 |    30845 |  125 | -1923 | 30845
950  | 041A | 0000_0100_0001_1010 |     1050 |   26 | 1050 | 1050
951  | 7CE6 | 0111_1100_1110_0110 |    31974 |  230 | -794 | 31974
952  | 04BA | 0000_0100_1011_1010 |     1210 |  186 | 1210 | 1210
953  | 0B86 | 0000_1011_1000_0110 |     2950 | -122 | -1146 | 2950
954  | 0347 | 0000_0011_0100_0111 |      839 | -185 |  839 |  839
955  | 78A7 | 0111_1000_1010_0111 |    30887 |  167 | -1881 | 30887
956  | 081E | 0000_1000_0001_1110 |     2078 |   30 | -2018 | 2078
957  | 0803 | 0000_1000_0000_0011 |     2051 |    3 | -2045 | 2051
958  | 7C45 | 0111_1100_0100_0101 |    31813 |   69 | -955 | 31813
959  | 0381 | 0000_0011_1000_0001 |      897 | -127 |  897 |  897
95A  | 0379 | 0000_0011_0111_1001 |      889 | -135 |  889 |  889
95B  | 7B44 | 0111_1011_0100_0100 |    31556 | -188 | -1212 | 31556
95C  | 7C3E | 0111_1100_0011_1110 |    31806 |   62 | -962 | 31806
95D  | 7B21 | 0111_1011_0010_0001 |    31521 | -223 | -1247 | 31521
95E  | 07E0 | 0000_0111_1110_0000 |     2016 |  -32 | 2016 | 2016
95F  | 0BA3 | 0000_1011_1010_0011 |     2979 |  -93 | -1117 | 2979
960  | 781E | 0111_1000_0001_1110 |    30750 |   30 | -2018 | 30750
961  | 0B9B | 0000_1011_1001_1011 |     2971 | -101 | -1125 | 2971
962  | 7FE0 | 0111_1111_1110_0000 |    32736 |  -32 |  -32 | 32736
963  | 04A1 | 0000_0100_1010_0001 |     1185 |  161 | 1185 | 1185
964  | 7FB9 | 0111_1111_1011_1001 |    32697 |  -71 |  -71 | 32697
965  | 04E4 | 0000_0100_1110_0100 |     1252 |  228 | 1252 | 1252
966  | 04C1 | 0000_0100_1100_0001 |     1217 |  193 | 1217 | 1217
967  | 0BA6 | 0000_1011_1010_0110 |     2982 |  -90 | -1114 | 2982
968  | 7CC7 | 0111_1100_1100_0111 |    31943 |  199 | -825 | 31943
969  | 7C3E | 0111_1100_0011_1110 |    31806 |   62 | -962 | 31806
96A  | 783E | 0111_1000_0011_1110 |    30782 |   62 | -1986 | 30782
96B  | 7CA4 | 0111_1100_1010_0100 |    31908 |  164 | -860 | 31908
96C  | 783C | 0111_1000_0011_1100 |    30780 |   60 | -1988 | 30780
96D  | 0099 | 0000_0000_1001_1001 |      153 |  153 |  153 |  153
96E  | 03C2 | 0000_0011_1100_0010 |      962 |  -62 |  962 |  962
96F  | 03C0 | 0000_0011_1100_0000 |      960 |  -64 |  960 |  960
970  | 7FBA | 0111_1111_1011_1010 |    32698 |  -70 |  -70 | 32698
971  | 7C24 | 0111_1100_0010_0100 |    31780 |   36 | -988 | 31780
972  | 7859 | 0111_1000_0101_1001 |    30809 |   89 | -1959 | 30809
973  | 041A | 0000_0100_0001_1010 |     1050 |   26 | 1050 | 1050
974  | 7BF9 | 0111_1011_1111_1001 |    31737 |   -7 | -1031 | 31737
975  | 03F9 | 0000_0011_1111_1001 |     1017 |   -7 | 1017 | 1017
976  | 7BC1 | 0111_1011_1100_0001 |    31681 |  -63 | -1087 | 31681
977  | 07A5 | 0000_0111_1010_0101 |     1957 |  -91 | 1957 | 1957
978  | 7CA6 | 0111_1100_1010_0110 |    31910 |  166 | -858 | 31910
979  | 7B99 | 0111_1011_1001_1001 |    31641 | -103 | -1127 | 31641
97A  | 0365 | 0000_0011_0110_0101 |      869 | -155 |  869 |  869
97B  | 037C | 0000_0011_0111_1100 |      892 | -132 |  892 |  892
97C  | 7FC2 | 0111_1111_1100_0010 |    32706 |  -62 |  -62 | 32706
97D  | 78FE | 0111_1000_1111_1110 |    30974 |  254 | -1794 | 30974
97E  | 079F | 0000_0111_1001_1111 |     1951 |  -97 | 1951 | 1951
97F  | 7C9A | 0111_1100_1001_1010 |    31898 |  154 | -870 | 31898
980  | 789E | 0111_1000_1001_1110 |    30878 |  158 | -1890 | 30878
981  | 0BDF | 0000_1011_1101_1111 |     3039 |  -33 | -1057 | 3039
982  | 0362 | 0000_0011_0110_0010 |      866 | -158 |  866 |  866
983  | 04E6 | 0000_0100_1110_0110 |     1254 |  230 | 1254 | 1254
984  | 0782 | 0000_0111_1000_0010 |     1922 | -126 | 1922 | 1922
985  | 04FA | 0000_0100_1111_1010 |     1274 |  250 | 1274 | 1274
986  | 0027 | 0000_0000_0010_0111 |       39 |   39 |   39 |   39
987  | 7BBA | 0111_1011_1011_1010 |    31674 |  -70 | -1094 | 31674
988  | 7CA2 | 0111_1100_1010_0010 |    31906 |  162 | -862 | 31906
989  | 7BFF | 0111_1011_1111_1111 |    31743 |   -1 | -1025 | 31743
98A  | 7C44 | 0111_1100_0100_0100 |    31812 |   68 | -956 | 31812
98B  | 0759 | 0000_0111_0101_1001 |     1881 | -167 | 1881 | 1881
98C  | 78C0 | 0111_1000_1100_0000 |    30912 |  192 | -1856 | 30912
98D  | 04C3 | 0000_0100_1100_0011 |     1219 |  195 | 1219 | 1219
98E  | 0BA5 | 0000_1011_1010_0101 |     2981 |  -91 | -1115 | 2981
98F  | 043B | 0000_0100_0011_1011 |     1083 |   59 | 1083 | 1083
990  | 0463 | 0000_0100_0110_0011 |     1123 |   99 | 1123 | 1123
991  | 7F7E | 0111_1111_0111_1110 |    32638 | -130 | -130 | 32638
992  | 08C1 | 0000_1000_1100_0001 |     2241 |  193 | -1855 | 2241
993  | 043E | 0000_0100_0011_1110 |     1086 |   62 | 1086 | 1086
994  | 04C1 | 0000_0100_1100_0001 |     1217 |  193 | 1217 | 1217
995  | 087F | 0000_1000_0111_1111 |     2175 |  127 | -1921 | 2175
996  | 08E7 | 0000_1000_1110_0111 |     2279 |  231 | -1817 | 2279
997  | 7BC1 | 0111_1011_1100_0001 |    31681 |  -63 | -1087 | 31681
998  | 7F9A | 0111_1111_1001_1010 |    32666 | -102 | -102 | 32666
999  | 0BE4 | 0000_1011_1110_0100 |     3044 |  -28 | -1052 | 3044
99A  | 0800 | 0000_1000_0000_0000 |     2048 |    0 | -2048 | 2048
99B  | 03C0 | 0000_0011_1100_0000 |      960 |  -64 |  960 |  960
99C  | 0BBA | 0000_1011_1011_1010 |     3002 |  -70 | -1094 | 3002
99D  | 7FC4 | 0111_1111_1100_0100 |    32708 |  -60 |  -60 | 32708
99E  | 07A6 | 0000_0111_1010_0110 |     1958 |  -90 | 1958 | 1958
99F  | 041C | 0000_0100_0001_1100 |     1052 |   28 | 1052 | 1052
9A0  | 0726 | 0000_0111_0010_0110 |     1830 | -218 | 1830 | 1830
9A1  | 0467 | 0000_0100_0110_0111 |     1127 |  103 | 1127 | 1127
9A2  | 03E3 | 0000_0011_1110_0011 |      995 |  -29 |  995 |  995
9A3  | 08E7 | 0000_1000_1110_0111 |     2279 |  231 | -1817 | 2279
9A4  | 045F | 0000_0100_0101_1111 |     1119 |   95 | 1119 | 1119
9A5  | 7843 | 0111_1000_0100_0011 |    30787 |   67 | -1981 | 30787
9A6  | 047C | 0000_0100_0111_1100 |     1148 |  124 | 1148 | 1148
9A7  | 0B5C | 0000_1011_0101_1100 |     2908 | -164 | -1188 | 2908
9A8  | 04FE | 0000_0100_1111_1110 |     1278 |  254 | 1278 | 1278
9A9  | 00C2 | 0000_0000_1100_0010 |      194 |  194 |  194 |  194
9AA  | 7C3E | 0111_1100_0011_1110 |    31806 |   62 | -962 | 31806
9AB  | 7F22 | 0111_1111_0010_0010 |    32546 | -222 | -222 | 32546
9AC  | 0867 | 0000_1000_0110_0111 |     2151 |  103 | -1945 | 2151
9AD  | 7C5B | 0111_1100_0101_1011 |    31835 |   91 | -933 | 31835
9AE  | 7FC7 | 0111_1111_1100_0111 |    32711 |  -57 |  -57 | 32711
9AF  | 7821 | 0111_1000_0010_0001 |    30753 |   33 | -2015 | 30753
9B0  | 0B24 | 0000_1011_0010_0100 |     2852 | -220 | -1244 | 2852
9B1  | 0B82 | 0000_1011_1000_0010 |     2946 | -126 | -1150 | 2946
9B2  | 7F86 | 0111_1111_1000_0110 |    32646 | -122 | -122 | 32646
9B3  | 7CE3 | 0111_1100_1110_0011 |    31971 |  227 | -797 | 31971
9B4  | 7C3A | 0111_1100_0011_1010 |    31802 |   58 | -966 | 31802
9B5  | 007E | 0000_0000_0111_1110 |      126 |  126 |  126 |  126
9B6  | 07A4 | 0000_0111_1010_0100 |     1956 |  -92 | 1956 | 1956
9B7  | 03BF | 0000_0011_1011_1111 |      959 |  -65 |  959 |  959
9B8  | 0BC4 | 0000_1011_1100_0100 |     3012 |  -60 | -1084 | 3012
9B9  | 7B25 | 0111_1011_0010_0101 |    31525 | -219 | -1243 | 31525
9BA  | 0721 | 0000_0111_0010_0001 |     1825 | -223 | 1825 | 1825
9BB  | 78E5 | 0111_1000_1110_0101 |    30949 |  229 | -1819 | 30949
9BC  | 083B | 0000_1000_0011_1011 |     2107 |   59 | -1989 | 2107
9BD  | 0B62 | 0000_1011_0110_0010 |     2914 | -158 | -1182 | 2914
9BE  | 7B9B | 0111_1011_1001_1011 |    31643 | -101 | -1125 | 31643
9BF  | 7B3F | 0111_1011_0011_1111 |    31551 | -193 | -1217 | 31551
9C0  | 7826 | 0111_1000_0010_0110 |    30758 |   38 | -2010 | 30758
9C1  | 08FC | 0000_1000_1111_1100 |     2300 |  252 | -1796 | 2300
9C2  | 7C05 | 0111_1100_0000_0101 |    31749 |    5 | -1019 | 31749
9C3  | 7B40 | 0111_1011_0100_0000 |    31552 | -192 | -1216 | 31552
9C4  | 0405 | 0000_0100_0000_0101 |     1029 |    5 | 1029 | 1029
9C5  | 08FF | 0000_1000_1111_1111 |     2303 |  255 | -1793 | 2303
9C6  | 03FD | 0000_0011_1111_1101 |     1021 |   -3 | 1021 | 1021
9C7  | 007F | 0000_0000_0111_1111 |      127 |  127 |  127 |  127
9C8  | 07DB | 0000_0111_1101_1011 |     2011 |  -37 | 2011 | 2011
9C9  | 7F24 | 0111_1111_0010_0100 |    32548 | -220 | -220 | 32548
9CA  | 78FA | 0111_1000_1111_1010 |    30970 |  250 | -1798 | 30970
9CB  | 0BFE | 0000_1011_1111_1110 |     3070 |   -2 | -1026 | 3070
9CC  | 785A | 0111_1000_0101_1010 |    30810 |   90 | -1958 | 30810
9CD  | 0BFB | 0000_1011_1111_1011 |     3067 |   -5 | -1029 | 3067
9CE  | 00BE | 0000_0000_1011_1110 |      190 |  190 |  190 |  190
9CF  | 78DD | 0111_1000_1101_1101 |    30941 |  221 | -1827 | 30941
9D0  | 0420 | 0000_0100_0010_0000 |     1056 |   32 | 1056 | 1056
9D1  | 7F21 | 0111_1111_0010_0001 |    32545 | -223 | -223 | 32545
9D2  | 0743 | 0000_0111_0100_0011 |     1859 | -189 | 1859 | 1859
9D3  | 7C7B | 0111_1100_0111_1011 |    31867 |  123 | -901 | 31867
9D4  | 7824 | 0111_1000_0010_0100 |    30756 |   36 | -2012 | 30756
9D5  | 78A2 | 0111_1000_1010_0010 |    30882 |  162 | -1886 | 30882
9D6  | 7C3B | 0111_1100_0011_1011 |    31803 |   59 | -965 | 31803
9D7  | 00BB | 0000_0000_1011_1011 |      187 |  187 |  187 |  187
9D8  | 0BC5 | 0000_1011_1100_0101 |     3013 |  -59 | -1083 | 3013
9D9  | 07C5 | 0000_0111_1100_0101 |     1989 |  -59 | 1989 | 1989
9DA  | 079E | 0000_0111_1001_1110 |     1950 |  -98 | 1950 | 1950
9DB  | 0787 | 0000_0111_1000_0111 |     1927 | -121 | 1927 | 1927
9DC  | 7BA7 | 0111_1011_1010_0111 |    31655 |  -89 | -1113 | 31655
9DD  | 0779 | 0000_0111_0111_1001 |     1913 | -135 | 1913 | 1913
9DE  | 0B3F | 0000_1011_0011_1111 |     2879 | -193 | -1217 | 2879
9DF  | 08E4 | 0000_1000_1110_0100 |     2276 |  228 | -1820 | 2276
9E0  | 7F39 | 0111_1111_0011_1001 |    32569 | -199 | -199 | 32569
9E1  | 7886 | 0111_1000_1000_0110 |    30854 |  134 | -1914 | 30854
9E2  | 08FD | 0000_1000_1111_1101 |     2301 |  253 | -1795 | 2301
9E3  | 00A7 | 0000_0000_1010_0111 |      167 |  167 |  167 |  167
9E4  | 7BE2 | 0111_1011_1110_0010 |    31714 |  -30 | -1054 | 31714
9E5  | 7B25 | 0111_1011_0010_0101 |    31525 | -219 | -1243 | 31525
9E6  | 0B20 | 0000_1011_0010_0000 |     2848 | -224 | -1248 | 2848
9E7  | 037C | 0000_0011_0111_1100 |      892 | -132 |  892 |  892
9E8  | 7C5D | 0111_1100_0101_1101 |    31837 |   93 | -931 | 31837
9E9  | 08FC | 0000_1000_1111_1100 |     2300 |  252 | -1796 | 2300
9EA  | 0384 | 0000_0011_1000_0100 |      900 | -124 |  900 |  900
9EB  | 7B84 | 0111_1011_1000_0100 |    31620 | -124 | -1148 | 31620
9EC  | 0346 | 0000_0011_0100_0110 |      838 | -186 |  838 |  838
9ED  | 7B3C | 0111_1011_0011_1100 |    31548 | -196 | -1220 | 31548
9EE  | 0B64 | 0000_1011_0110_0100 |     2916 | -156 | -1180 | 2916
9EF  | 0860 | 0000_1000_0110_0000 |     2144 |   96 | -1952 | 2144
9F0  | 079A | 0000_0111_1001_1010 |     1946 | -102 | 1946 | 1946
9F1  | 0779 | 0000_0111_0111_1001 |     1913 | -135 | 1913 | 1913
9F2  | 041B | 0000_0100_0001_1011 |     1051 |   27 | 1051 | 1051
9F3  | 08C1 | 0000_1000_1100_0001 |     2241 |  193 | -1855 | 2241
9F4  | 7C5C | 0111_1100_0101_1100 |    31836 |   92 | -932 | 31836
9F5  | 0B22 | 0000_1011_0010_0010 |     2850 | -222 | -1246 | 2850
9F6  | 00DD | 0000_0000_1101_1101 |      221 |  221 |  221 |  221
9F7  | 0B5A | 0000_1011_0101_1010 |     2906 | -166 | -1190 | 2906
9F8  | 08BC | 0000_1000_1011_1100 |     2236 |  188 | -1860 | 2236
9F9  | 7BFA | 0111_1011_1111_1010 |    31738 |   -6 | -1030 | 31738
9FA  | 7B87 | 0111_1011_1000_0111 |    31623 | -121 | -1145 | 31623
9FB  | 781A | 0111_1000_0001_1010 |    30746 |   26 | -2022 | 30746
9FC  | 087C | 0000_1000_0111_1100 |     2172 |  124 | -1924 | 2172
9FD  | 7CBE | 0111_1100_1011_1110 |    31934 |  190 | -834 | 31934
9FE  | 037F | 0000_0011_0111_1111 |      895 | -129 |  895 |  895
9FF  | 03C2 | 0000_0011_1100_0010 |      962 |  -62 |  962 |  962
A00  | 7C3B | 0111_1100_0011_1011 |    31803 |   59 | -965 | 31803
A01  | 7F3B | 0111_1111_0011_1011 |    32571 | -197 | -197 | 32571
A02  | 0322 | 0000_0011_0010_0010 |      802 | -222 |  802 |  802
A03  | 041E | 0000_0100_0001_1110 |     1054 |   30 | 1054 | 1054
A04  | 7B65 | 0111_1011_0110_0101 |    31589 | -155 | -1179 | 31589
A05  | 7BA4 | 0111_1011_1010_0100 |    31652 |  -92 | -1116 | 31652
A06  | 033B | 0000_0011_0011_1011 |      827 | -197 |  827 |  827
A07  | 7FA5 | 0111_1111_1010_0101 |    32677 |  -91 |  -91 | 32677
A08  | 047A | 0000_0100_0111_1010 |     1146 |  122 | 1146 | 1146
A09  | 03C0 | 0000_0011_1100_0000 |      960 |  -64 |  960 |  960
A0A  | 781D | 0111_1000_0001_1101 |    30749 |   29 | -2019 | 30749
A0B  | 08A7 | 0000_1000_1010_0111 |     2215 |  167 | -1881 | 2215
A0C  | 7CD9 | 0111_1100_1101_1001 |    31961 |  217 | -807 | 31961
A0D  | 0B7B | 0000_1011_0111_1011 |     2939 | -133 | -1157 | 2939
A0E  | 0362 | 0000_0011_0110_0010 |      866 | -158 |  866 |  866
A0F  | 7880 | 0111_1000_1000_0000 |    30848 |  128 | -1920 | 30848
A10  | 047C | 0000_0100_0111_1100 |     1148 |  124 | 1148 | 1148
A11  | 0866 | 0000_1000_0110_0110 |     2150 |  102 | -1946 | 2150
A12  | 045F | 0000_0100_0101_1111 |     1119 |   95 | 1119 | 1119
A13  | 7822 | 0111_1000_0010_0010 |    30754 |   34 | -2014 | 30754
A14  | 0B84 | 0000_1011_1000_0100 |     2948 | -124 | -1148 | 2948
A15  | 04E6 | 0000_0100_1110_0110 |     1254 |  230 | 1254 | 1254
A16  | 0786 | 0000_0111_1000_0110 |     1926 | -122 | 1926 | 1926
A17  | 089A | 0000_1000_1001_1010 |     2202 |  154 | -1894 | 2202
A18  | 7BFF | 0111_1011_1111_1111 |    31743 |   -1 | -1025 | 31743
A19  | 075D | 0000_0111_0101_1101 |     1885 | -163 | 1885 | 1885
A1A  | 001D | 0000_0000_0001_1101 |       29 |   29 |   29 |   29
A1B  | 0BDE | 0000_1011_1101_1110 |     3038 |  -34 | -1058 | 3038
A1C  | 7F65 | 0111_1111_0110_0101 |    32613 | -155 | -155 | 32613
A1D  | 7C21 | 0111_1100_0010_0001 |    31777 |   33 | -991 | 31777
A1E  | 7BA6 | 0111_1011_1010_0110 |    31654 |  -90 | -1114 | 31654
A1F  | 001E | 0000_0000_0001_1110 |       30 |   30 |   30 |   30
A20  | 07E4 | 0000_0111_1110_0100 |     2020 |  -28 | 2020 | 2020
A21  | 7CC5 | 0111_1100_1100_0101 |    31941 |  197 | -827 | 31941
A22  | 7807 | 0111_1000_0000_0111 |    30727 |    7 | -2041 | 30727
A23  | 03E6 | 0000_0011_1110_0110 |      998 |  -26 |  998 |  998
A24  | 0360 | 0000_0011_0110_0000 |      864 | -160 |  864 |  864
A25  | 7B5F | 0111_1011_0101_1111 |    31583 | -161 | -1185 | 31583
A26  | 7BE1 | 0111_1011_1110_0001 |    31713 |  -31 | -1055 | 31713
A27  | 077C | 0000_0111_0111_1100 |     1916 | -132 | 1916 | 1916
A28  | 7B7A | 0111_1011_0111_1010 |    31610 | -134 | -1158 | 31610
A29  | 075F | 0000_0111_0101_1111 |     1887 | -161 | 1887 | 1887
A2A  | 079E | 0000_0111_1001_1110 |     1950 |  -98 | 1950 | 1950
A2B  | 0819 | 0000_1000_0001_1001 |     2073 |   25 | -2023 | 2073
A2C  | 0083 | 0000_0000_1000_0011 |      131 |  131 |  131 |  131
A2D  | 0321 | 0000_0011_0010_0001 |      801 | -223 |  801 |  801
A2E  | 0321 | 0000_0011_0010_0001 |      801 | -223 |  801 |  801
A2F  | 0884 | 0000_1000_1000_0100 |     2180 |  132 | -1916 | 2180
A30  | 04DA | 0000_0100_1101_1010 |     1242 |  218 | 1242 | 1242
A31  | 07BB | 0000_0111_1011_1011 |     1979 |  -69 | 1979 | 1979
A32  | 787D | 0111_1000_0111_1101 |    30845 |  125 | -1923 | 30845
A33  | 0BBD | 0000_1011_1011_1101 |     3005 |  -67 | -1091 | 3005
A34  | 7867 | 0111_1000_0110_0111 |    30823 |  103 | -1945 | 30823
A35  | 0899 | 0000_1000_1001_1001 |     2201 |  153 | -1895 | 2201
A36  | 7B20 | 0111_1011_0010_0000 |    31520 | -224 | -1248 | 31520
A37  | 7FC4 | 0111_1111_1100_0100 |    32708 |  -60 |  -60 | 32708
A38  | 0320 | 0000_0011_0010_0000 |      800 | -224 |  800 |  800
A39  | 03BC | 0000_0011_1011_1100 |      956 |  -68 |  956 |  956
A3A  | 0425 | 0000_0100_0010_0101 |     1061 |   37 | 1061 | 1061
A3B  | 7C9F | 0111_1100_1001_1111 |    31903 |  159 | -865 | 31903
A3C  | 00C7 | 0000_0000_1100_0111 |      199 |  199 |  199 |  199
A3D  | 07A7 | 0000_0111_1010_0111 |     1959 |  -89 | 1959 | 1959
A3E  | 7FC3 | 0111_1111_1100_0011 |    32707 |  -61 |  -61 | 32707
A3F  | 0002 | 0000_0000_0000_0010 |        2 |    2 |    2 |    2
A40  | 787B | 0111_1000_0111_1011 |    30843 |  123 | -1925 | 30843
A41  | 0B3E | 0000_1011_0011_1110 |     2878 | -194 | -1218 | 2878
A42  | 7CC6 | 0111_1100_1100_0110 |    31942 |  198 | -826 | 31942
A43  | 0742 | 0000_0111_0100_0010 |     1858 | -190 | 1858 | 1858
A44  | 7C25 | 0111_1100_0010_0101 |    31781 |   37 | -987 | 31781
A45  | 0762 | 0000_0111_0110_0010 |     1890 | -158 | 1890 | 1890
A46  | 7FC4 | 0111_1111_1100_0100 |    32708 |  -60 |  -60 | 32708
A47  | 07A6 | 0000_0111_1010_0110 |     1958 |  -90 | 1958 | 1958
A48  | 0061 | 0000_0000_0110_0001 |       97 |   97 |   97 |   97
A49  | 7B59 | 0111_1011_0101_1001 |    31577 | -167 | -1191 | 31577
A4A  | 00DD | 0000_0000_1101_1101 |      221 |  221 |  221 |  221
A4B  | 78FC | 0111_1000_1111_1100 |    30972 |  252 | -1796 | 30972
A4C  | 03E0 | 0000_0011_1110_0000 |      992 |  -32 |  992 |  992
A4D  | 0383 | 0000_0011_1000_0011 |      899 | -125 |  899 |  899
A4E  | 7F24 | 0111_1111_0010_0100 |    32548 | -220 | -220 | 32548
A4F  | 08B9 | 0000_1000_1011_1001 |     2233 |  185 | -1863 | 2233
A50  | 0781 | 0000_0111_1000_0001 |     1921 | -127 | 1921 | 1921
A51  | 07DE | 0000_0111_1101_1110 |     2014 |  -34 | 2014 | 2014
